Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",84,,,,,4,,,Have certificate,,8.6
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60,,,,,5,,,,,7.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",90,6,13,Đông - Bắc,Đông - Bắc,5,,,Sale contract,,8.9
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54,,3.5,Tây - Nam,Tây - Nam,2,2,3,Have certificate,Full,5.35
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92,,,Đông - Nam,Đông - Nam,2,4,4,Have certificate,Full,6.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91,7,13,Tây - Bắc,,,,,Have certificate,,9.8
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",64,4,,,,5,,,,,7.2
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74,5,18,Nam,Nam,5,4,5,Have certificate,,9.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",48,,,,,5,6,,,Basic,5.7
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91,7,,,,5,,,Have certificate,,9.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80,5,13,Đông - Nam,,5,6,6,Have certificate,,10
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",70,6,13,Đông - Nam,,5,6,,,,9.8
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60,,,,,5,,,,,8.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91,,,,,,,,Have certificate,,8.6
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",96,6,13,Tây - Bắc,,4,,,Sale contract,,9.6
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30,,,Đông - Nam,,2,2,2,Have certificate,Full,3.79
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",300,15,32,Đông,Nam,3,6,3,Have certificate,Full,9.4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91,7,17,Đông - Nam,Đông - Nam,,,,,Basic,10
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",65,5,20,Đông - Nam,Đông - Nam,5,5,4,Sale contract,,7.8
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46,4.6,6,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Full,7.99
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",75,5,13,Tây - Nam,Đông - Bắc,5,7,5,Sale contract,,8.7
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",100,,,,,3,3,3,,,3.3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",84,6,,Tây - Bắc,,5,,,,,9.45
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60,3.5,5,Đông - Nam,Đông,2,6,5,Have certificate,Full,5.6
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",369,15,12,Đông - Nam,Đông - Nam,2,4,4,Have certificate,Full,6.3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75,5,13,Tây - Nam,Tây - Nam,,,,Have certificate,,7.7
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55,5,,,,2,4,,Have certificate,Basic,3.25
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78,6,,,,5,,,Have certificate,,9.59
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4,8,,,5,4,6,Have certificate,Basic,9.5
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28,,3,,,2,2,2,Have certificate,Full,3.88
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150,,,Bắc,,2,7,,Have certificate,,6.7
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72,5.6,3.5,,,1,,,Have certificate,Basic,10
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",78,6,13,Đông - Nam,Đông - Nam,4,6,6,Have certificate,Basic,8.63
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68,,,Đông - Bắc,,3,4,6,Have certificate,,6.5
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43,,4,Đông - Nam,,3,3,3,Have certificate,Full,5.85
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6,,,5,,,Have certificate,,7.5
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",168,,,,,2,4,4,,,5.2
"Dự án Hoàng Nam Uyên Hưng, Đường Tố Hữu, Phường Uyên Hưng, Tân Uyên, Bình Dương",72,17,36,,,2,2,2,Have certificate,,2
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",70,5,13,Tây - Nam,Tây - Nam,5,6,4,Sale contract,,8.5
"Dự án The Crown - Vinhomes Ocean Park 3, Huyện Văn Giang, Hưng Yên",75,5,13,Tây - Nam,Tây - Nam,5,5,4,Sale contract,,8.1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80,5,,,Đông - Nam,5,,,Sale contract,,9
"Xã Lại Thượng, Thạch Thất, Hà Nội",378,,,,,2,3,3,Have certificate,Full,7.8
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88,5.5,11.5,Đông - Nam,Tây - Bắc,5,4,4,Have certificate,,6.5
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54,5.8,3,Tây - Bắc,Tây - Bắc,4,6,6,Have certificate,Full,8.8
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36,3.8,2.2,Nam,,5,,,Have certificate,Basic,3.85
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41,,3.5,,,5,4,4,Have certificate,Full,10
"Yên Nghĩa, Hà Đông, Hà Nội",35,,,,,4,3,3,Have certificate,Basic,2.9
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46,,30,Đông - Bắc,Đông - Bắc,,1,1,Sale contract,Basic,4.3
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180,10,,,,4,3,3,Have certificate,Full,5.3
"Phụng Châu, Chương Mỹ, Hà Nội",38,,,,,3,3,3,Have certificate,Full,2.1
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45,5,6,Bắc,Bắc,3,3,4,Have certificate,,5.95
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90,6,,Nam,Nam,2,4,3,Sale contract,,3.2
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88,5.5,17,Đông - Nam,Đông - Nam,5,4,4,Sale contract,,6.6
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85,,,,,,4,5,Have certificate,,5.9
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,,,,,4,4,5,,,9.5
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,,,,,5,,,,,9.7
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88,,,,,4,,,Sale contract,,6.7
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38,,,,,2,1,1,,,4.1
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40,4.1,6,Tây - Nam,Tây - Nam,4,3,4,Have certificate,,7.7
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113,,,,,,,,Have certificate,,6.2
"Dự án Phú Cường, Đường 3/2, Phường An Hòa, Rạch Giá, Kiên Giang",150,5,29,Tây,Tây,2,,,Sale contract,,4.9
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4,4.5,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,10
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100,5,,Đông - Nam,,3,5,3,,,8.1
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30,,6,,,3,,,Have certificate,Full,7.15
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85,,,,,3,4,4,Have certificate,,5.9
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",54,,,Tây - Bắc,,,,,,,8.15
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7,3,,,5,6,,,Full,7.6
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73,5,,,,4,4,4,,,9.5
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80,,,,,,,,Have certificate,,10
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",120,,,,,2,3,3,,,3.1
"Dự án Itaewon An Dương, Đường Quốc Lộ 10, Xã Lê Lợi, An Dương, Hải Phòng",82.5,,15.5,Tây - Bắc,,4,4,3,,,5.71
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52,4,3,,,4,4,4,,,6.5
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45,6,3,,,4,4,4,Have certificate,,7.65
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",200,10,13,Đông - Nam,Tây - Bắc,2,3,3,Sale contract,,5.6
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120,,,,,3,4,3,,,8.4
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64,4,,,,3,4,3,Have certificate,,4.7
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50,3.7,3.5,,,5,7,6,Have certificate,,8.9
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36,7,3,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,5.6
"Dự án Vườn Vua Resort & Villas, Đường Trung Thịnh, Xã Đồng Trung, Thanh Thủy, Phú Thọ",368,,,,,,,,,,6.3
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88,,,,,4,,,,,6.6
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156,,,,,2,,,Sale contract,,7.8
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4,,Đông - Bắc,Đông - Bắc,2,,2,Have certificate,Full,9.5
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33,,,Tây - Nam,,5,,,Have certificate,Basic,4.95
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100,,,,,,,,,,7.5
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34,,2,,,4,3,,,Full,2.9
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100,20,12,Bắc,Bắc,3,4,5,Have certificate,Basic,6.5
"Dự án Sun Group Hà Nam, Đường Quốc lộ 1A, Xã Tiên Hiệp, Phủ Lý, Hà Nam",60,8,15,,,4,5,5,Have certificate,,4.5
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",85,,,,,4,4,6,Have certificate,,4.2
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,5.3,5,,,3,,,Have certificate,Full,2.38
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",62.5,5,,,,5,,,Have certificate,,7.5
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",87,5,33,Đông - Nam,Tây - Bắc,5,5,5,Have certificate,,10
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56,5,5,Bắc,,,,,,,2.7
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90,,,Bắc,,,3,,,,5.5
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58,,,,,,,,Sale contract,Basic,4.61
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",35,5,2,,,5,5,4,Have certificate,Full,6.85
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,,5,,,3,4,4,Have certificate,Basic,3.75
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54,,5,,,3,4,4,Have certificate,Full,4.3
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,,,,,3,3,2,Have certificate,Basic,4.05
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56,3.82,2.5,Đông - Nam,,5,6,5,Have certificate,Full,6.5
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151,4,6,Tây,Tây,2,4,3,Have certificate,Full,3.2
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6,Tây - Nam,Tây - Nam,4,4,5,Have certificate,,9.2
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",27,4,10,,,5,4,5,Have certificate,Full,7.65
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115,,,,,,,,,Full,9.55
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81,,18.5,,,5,,,,,9.9
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",102.8,7,18,Đông - Nam,,2,4,4,,,5.6
"Dự án The Empire - Vinhomes Ocean Park 2, Huyện Văn Giang, Hưng Yên",48,,,,,,,,Have certificate,,5.8
"Phường 11, Tân Bình, Hồ Chí Minh",55,4.5,5,,,,,,,,6.8
